,title,description,text,date,language,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent
0,Hitting the Books: How Bitcoin is somehow worth more than the paper it's printed on,"Bitcoin and similar blockchain-based cryptos exhibit the same radical divergence from traditional scarcity economics that we first saw when MP3s and Napster cratered physical album sales at the turn of the century. Unlike gold, which derives its value from bo…",Bitcoin and similar blockchain-based cryptos exhibit the same radical divergence from traditional scarcity economics that we first saw when MP3s and Napster cratered physical album sales at the turn … [+8436 chars],2021-09-25,en,0.2263,0.119,0.881,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,Bitcoin hits strongest level since May,"<ul><li>Bitcoin, in terms of market value, rose 4.6% to $53,859.6.</li><li>It passed $50,000 mark for first time in four weeks on Tuesday. </li><li>Bitcoin fell below $50,000 in early September.</li></ul>Bitcoin hit its highest level since mid-May on Wednesda…","<ul><li>Bitcoin, in terms of market value, rose 4.6% to $53,859.6.</li><li>It passed $50,000 mark for first time in four weeks on Tuesday. </li><li>Bitcoin fell below $50,000 in early September.</li>… [+821 chars]",2021-10-06,en,0.4404,0.367,0.633,0.0,1.0,0.34,0.076,0.924,0.0,1.0
2,"BTC, DOGE, and SHIBA Price Analysis for October 6",How high are the chances of Bitcoin sustaining its gains and pushing altcoins higher?   from U.Today https://ift.tt/3BkD5px https://ift.tt/e...,How high are the chances of Bitcoin sustaining its gains and pushing altcoins higher?from U.Today https://ift.tt/3BkD5px https://ift.tt/eA8V8J,2021-10-06,en,0.0,0.0,1.0,0.0,0.0,0.4939,0.219,0.781,0.0,1.0
3,JPMorgan CEO Says Bitcoin Has No Intrinsic Value After Claiming That Its Price Could Rise 10X,JPMorgan CEO Jamie Dimon is still not a Bitcoin fan despite rapid price appreciation   from U.Today https://ift.tt/3iyi5nR https://ift.tt/eA...,JPMorgan CEO Jamie Dimon is still not a Bitcoin fan despite rapid price appreciationfrom U.Today https://ift.tt/3iyi5nR https://ift.tt/eA8V8J,2021-10-04,en,0.0516,0.129,0.753,0.118,1.0,-0.2411,0.0,0.884,0.116,-1.0
4,Why have Elon Musk and Tesla suddenly turned against bitcoin?,"Elon Musk has performed a sudden U-turn on bitcoin over concerns about its energy usage, and says his electric car firm Tesla will no longer accept the cryptocurrency as payment – but will his decision have an impact, and could Tesla turn to an alternative cu…","Elon Musk has performed a sudden U-turn on bitcoin over concerns about its energy usage, and says his electric car firm Tesla will no longer accept the cryptocurrency as payment – but will his decisi… [+3069 chars]",2021-09-28,en,0.0,0.0,1.0,0.0,0.0,0.1901,0.091,0.866,0.043,1.0
5,"Who Bought $1.6B in Bitcoin Wednesday, and Why?","last week the cryptocurrency market persistently asked the gnawing and annoying question, “Why?”
Specifically, why did someone make a massive purchase of $1.6 billion worth of bitcoin on Wednesday in a couple of minutes?
While many see this huge buy as a si…","Specifically, why did someone make a massive purchase of $1.6 billion worth of bitcoin on Wednesday in a couple of minutes?
While many see this huge buy as a signal of bullishness, there may be more… [+8443 chars]",2021-10-10,en,0.0,0.0,1.0,0.0,0.0,0.5461,0.121,0.879,0.0,1.0
6,China’s central bank bans cryptocurrency transactions to avoid ‘risks’,"China’s central bank on Friday said cryptocurrency transactions in the country are illegal, banning all transactions. It said cryptocurrencies like bitcoin and Ethereum are not legal tender and can’t be circulated.","Its the countrys latest crackdown on digital currencies
Illustration by Alex Castro / The Verge
The Peoples Bank of China, the countrys central bank, said Friday that cryptocurrency transactions ar… [+1461 chars]",2021-09-24,en,-0.296,0.0,0.784,0.216,-1.0,0.0,0.0,1.0,0.0,0.0
7,"Mining Bitcoin Using Nuclear Power May Be Fine, Actually","Last week, the Wall Street Journal ran a piece on three recent nuclear-bitcoin deals that may signal a growing trend in the industry. The Journal piece reflects a small but growing sense of excitement expressed by some crypto fans—including Miami mayor and bi…","Last week, the Wall Street Journal ran a piece on three recent nuclear-bitcoin deals that may signal a growing trend in the industry. The Journal piece reflects a small but growing sense of excitemen… [+9512 chars]",2021-10-08,en,0.2023,0.184,0.816,0.0,1.0,0.34,0.099,0.901,0.0,1.0
8,Twitter will allow people to tip their favorite content creators with bitcoin,"Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Thursday.The company also said it will test new ways to help u…","Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Th… [+2802 chars]",2021-09-24,en,0.5994,0.329,0.671,0.0,1.0,0.5423,0.119,0.847,0.034,1.0
9,Bitcoin Bros and Nuclear Bros Have Found Common Cause,"Cryptocurrency mining is a wildly energy-intensive endeavor that doesn’t only pump out more carbon emissions than some small countries, but is quickly racking up a small mountain range’s worth of electronic waste. Read more...","Cryptocurrency mining is awildlyenergy-intensive endeavor that doesnt only pump out more carbon emissions than some small countries, but is quickly racking up a small mountain ranges worth of electro… [+2719 chars]",2021-09-27,en,0.0,0.0,1.0,0.0,0.0,0.3291,0.075,0.925,0.0,1.0
